YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_PAR_TOT,ALLSKY_KT,PRECTOTCORR,T2M,PS,PSC,WSC
2023,6,1,0,0,90,0,0,0,0,-999,0,29.18,100.18,89.65,7.01
2023,6,1,1,0,90,0,0,0,0,-999,0,28.27,100.13,89.57,6.34
2023,6,1,2,0,90,0,0,0,0,-999,0,27.36,100.11,89.52,5.78
2023,6,1,3,0,90,0,0,0,0,-999,0,26.49,100.11,89.5,5.19
2023,6,1,4,0,90,0,0,0,0,-999,0,25.75,100.13,89.49,4.5
2023,6,1,5,7.38,88.12,0.47,0,0,3.33,0.17,0,25.3,100.17,89.51,3.86
2023,6,1,6,97.97,76.61,5.68,0.04,0.17,45.39,0.32,0,27.08,100.24,89.62,3.52
2023,6,1,7,265.65,63.44,14.99,0.23,1.12,123.19,0.45,0,29.82,100.3,89.77,4.27
2023,6,1,8,478.33,50.03,28.27,0.64,3.22,222.62,0.56,0,32.57,100.33,89.89,4.34
2023,6,1,9,726.97,36.47,44.05,1.26,6.55,338.07,0.68,0,34.76,100.33,89.96,4.67
2023,6,1,10,859.65,22.89,53.78,1.79,9.48,399.77,0.7,0,36.71,100.28,89.98,5.48
2023,6,1,11,939.12,9.69,59.65,2.12,11.65,436.65,0.72,0,38.32,100.2,89.96,6.36
2023,6,1,12,983.25,6.66,66.27,2.46,13.52,461.47,0.75,0,39.53,100.11,89.92,7.07
2023,6,1,13,939.15,19.39,62.34,2.2,11.8,441.59,0.75,0,40.32,100.01,89.85,7.59
2023,6,1,14,749.45,32.94,49.78,1.57,8.1,355.77,0.67,0,40.76,99.92,89.79,7.9
2023,6,1,15,573.35,46.51,36.68,0.93,4.75,272.63,0.63,0,40.73,99.87,89.74,8.23
2023,6,1,16,394.77,59.96,23.29,0.4,1.98,187,0.6,0,40,99.84,89.69,8.76
2023,6,1,17,179.48,73.2,9.95,0.09,0.43,84.27,0.47,0,38.6,99.86,89.66,9.37
2023,6,1,18,27.4,85.87,1.59,0.01,0.03,12.48,0.29,0,36.38,99.93,89.65,9.45
2023,6,1,19,0,90,0,0,0,0,-999,0,34.24,100,89.65,9.04
